PHỤ LỤC E
Đặc tả danh mục đơn vị hành chính Ban hành kèm theo Công văn số 915/CTK-CSCL ngày 16 tháng 6 năm 2025 của Cục Thống kê
E.1. DANH MỤC VÀ MÃ SỐ CÁC ĐƠN VỊ HÀNH CHÍNH CẤP TỈNH

E.2. DANH MỤC VÀ MÃ SỐ CÁC ĐƠN VỊ HÀNH CHÍNH CẤP XÃ

E.3. CHUYỂN ĐỔI ĐƠN VỊ HÀNH CHÍNH SANG XSD
Chuyển đổi dữ liệu của đơn vị hành chính cấp Tỉnh và Xã sang định nghĩa SimpleType trong cấu trúc đặc tả bằng ngôn ngữ XSD


--- TABLE 1 ---
Stt	Mã số	Tên 34 tỉnh sau sáp nhập
1	01	Thành phố Hà Nội
2	04	Cao Bằng
3	08	Tuyên Quang
4	11	Điện Biên
5	12	Lai Châu
6	14	Sơn La
7	15	Lào Cai
8	19	Thái Nguyên
9	20	Lạng Sơn
10	22	Quảng Ninh
11	24	Bắc Ninh
12	25	Phú Thọ
13	31	Thành phố Hải Phòng
14	33	Hưng Yên
15	37	Ninh Bình
16	38	Thanh Hóa
17	40	Nghệ An
18	42	Hà Tĩnh
19	44	Quảng Trị
20	46	Thành phố Huế
21	48	Thành phố Đà Nẵng
22	51	Quảng Ngãi
23	52	Gia Lai
24	56	Khánh Hòa
25	66	Đắk Lắk
26	68	Lâm Đồng
27	75	Đồng Nai
28	79	Thành phố Hồ Chí Minh
29	80	Tây Ninh
30	82	Đồng Tháp
31	86	Vĩnh Long
32	91	An Giang
33	92	Thành phố Cần Thơ
34	96	Cà Mau

--- TABLE 2 ---
Stt	Mã số	Tên đơn vị hành chính	Tỉnh (thành phố)
215	02434	Xã Lực Hành	Tỉnh Tuyên Quang
216	02473	Xã Yên Sơn	Tỉnh Tuyên Quang
217	02530	Xã Nhữ Khê	Tỉnh Tuyên Quang
218	02437	Xã Kiến Thiết	Tỉnh Tuyên Quang
219	02545	Xã Tân Trào	Tỉnh Tuyên Quang
220	02554	Xã Minh Thanh	Tỉnh Tuyên Quang
221	02536	Xã Sơn Dương	Tỉnh Tuyên Quang
222	02548	Xã Bình Ca	Tỉnh Tuyên Quang
223	02578	Xã Tân Thanh	Tỉnh Tuyên Quang
224	02620	Xã Sơn Thuỷ	Tỉnh Tuyên Quang
225	02611	Xã Phú Lương	Tỉnh Tuyên Quang
226	02623	Xã Trường Sinh	Tỉnh Tuyên Quang
227	02608	Xã Hồng Sơn	Tỉnh Tuyên Quang
228	02572	Xã Đông Thọ	Tỉnh Tuyên Quang
229	02509	Phường Mỹ Lâm	Tỉnh Tuyên Quang
230	02215	Phường Minh Xuân	Tỉnh Tuyên Quang
231	02212	Phường Nông Tiến	Tỉnh Tuyên Quang
232	02512	Phường An Tường	Tỉnh Tuyên Quang
233	02524	Phường Bình Thuận	Tỉnh Tuyên Quang
234	00715	Xã Lũng Cú	Tỉnh Tuyên Quang
235	00721	Xã Đồng Văn	Tỉnh Tuyên Quang
236	00733	Xã Sà Phìn	Tỉnh Tuyên Quang
237	00745	Xã Phố Bảng	Tỉnh Tuyên Quang
238	00763	Xã Lũng Phìn	Tỉnh Tuyên Quang
239	00787	Xã Sủng Máng	Tỉnh Tuyên Quang
240	00778	Xã Sơn Vĩ	Tỉnh Tuyên Quang
241	00769	Xã Mèo Vạc	Tỉnh Tuyên Quang
242	00802	Xã Khâu Vai	Tỉnh Tuyên Quang
243	00817	Xã Niêm Sơn	Tỉnh Tuyên Quang
244	00808	Xã Tát Ngà	Tỉnh Tuyên Quang
245	00829	Xã Thắng Mố	Tỉnh Tuyên Quang
246	00832	Xã Bạch Đích	Tỉnh Tuyên Quang
247	00820	Xã Yên Minh	Tỉnh Tuyên Quang
248	00847	Xã Mậu Duệ	Tỉnh Tuyên Quang
249	00859	Xã Ngọc Long	Tỉnh Tuyên Quang
250	00871	Xã Du Già	Tỉnh Tuyên Quang
251	00865	Xã Đường Thượng	Tỉnh Tuyên Quang
252	00901	Xã Lùng Tám	Tỉnh Tuyên Quang
253	00883	Xã Cán Tỷ	Tỉnh Tuyên Quang
254	00889	Xã Nghĩa Thuận	Tỉnh Tuyên Quang
255	00874	Xã Quản Bạ	Tỉnh Tuyên Quang
256	00892	Xã Tùng Vài	Tỉnh Tuyên Quang
257	01006	Xã Yên Cường	Tỉnh Tuyên Quang
258	01012	Xã Đường Hồng	Tỉnh Tuyên Quang
259	00991	Xã Bắc Mê	Tỉnh Tuyên Quang
260	00985	Xã Giáp Trung	Tỉnh Tuyên Quang
261	00982	Xã Minh Sơn	Tỉnh Tuyên Quang
262	00994	Xã Minh Ngọc	Tỉnh Tuyên Quang
263	00700	Xã Ngọc Đường	Tỉnh Tuyên Quang
264	00694	Phường Hà Giang 1	Tỉnh Tuyên Quang
265	00691	Phường Hà Giang 2	Tỉnh Tuyên Quang
266	00937	Xã Lao Chải	Tỉnh Tuyên Quang
267	00928	Xã Thanh Thuỷ	Tỉnh Tuyên Quang
268	00919	Xã Minh Tân	Tỉnh Tuyên Quang
269	00922	Xã Thuận Hoà	Tỉnh Tuyên Quang
270	00925	Xã Tùng Bá	Tỉnh Tuyên Quang
271	00706	Xã Phú Linh	Tỉnh Tuyên Quang
272	00970	Xã Linh Hồ	Tỉnh Tuyên Quang
273	00976	Xã Bạch Ngọc	Tỉnh Tuyên Quang
274	00913	Xã Vị Xuyên	Tỉnh Tuyên Quang
275	00967	Xã Việt Lâm	Tỉnh Tuyên Quang
276	00952	Xã Cao Bồ	Tỉnh Tuyên Quang
277	00958	Xã Thượng Sơn	Tỉnh Tuyên Quang
278	01171	Xã Tân Quang	Tỉnh Tuyên Quang
279	01165	Xã Đồng Tâm	Tỉnh Tuyên Quang
280	01192	Xã Liên Hiệp	Tỉnh Tuyên Quang
281	01180	Xã Bằng Hành	Tỉnh Tuyên Quang
282	01153	Xã Bắc Quang	Tỉnh Tuyên Quang
283	01201	Xã Hùng An	Tỉnh Tuyên Quang
284	01156	Xã Vĩnh Tuy	Tỉnh Tuyên Quang
285	01216	Xã Đồng Yên	Tỉnh Tuyên Quang
286	01261	Xã Tiên Yên	Tỉnh Tuyên Quang
287	01255	Xã Xuân Giang	Tỉnh Tuyên Quang
288	01246	Xã Bằng Lang	Tỉnh Tuyên Quang
289	01234	Xã Yên Thành	Tỉnh Tuyên Quang
290	01237	Xã Quang Bình	Tỉnh Tuyên Quang
291	01243	Xã Tân Trịnh	Tỉnh Tuyên Quang
292	01225	Xã Tiên Nguyên	Tỉnh Tuyên Quang
293	01090	Xã Thông Nguyên	Tỉnh Tuyên Quang
294	01084	Xã Hồ Thầu	Tỉnh Tuyên Quang
295	01075	Xã Nậm Dịch	Tỉnh Tuyên Quang
296	01051	Xã Tân Tiến	Tỉnh Tuyên Quang
297	01021	Xã Hoàng Su Phì	Tỉnh Tuyên Quang
298	01033	Xã Thàng Tín	Tỉnh Tuyên Quang
299	01024	Xã Bản Máy	Tỉnh Tuyên Quang
300	01057	Xã Pờ Ly Ngài	Tỉnh Tuyên Quang
301	01108	Xã Xín Mần	Tỉnh Tuyên Quang
302	01096	Xã Pà Vầy Sủ	Tỉnh Tuyên Quang
303	01141	Xã Nấm Dẩn	Tỉnh Tuyên Quang
304	01117	Xã Trung Thịnh	Tỉnh Tuyên Quang
305	01144	Xã Quảng Nguyên	Tỉnh Tuyên Quang
306	01147	Xã Khuôn Lùng	Tỉnh Tuyên Quang
		TỈNH ĐIỆN BIÊN	Tỉnh Điện Biên
307	03325	Xã Mường Phăng	Tỉnh Điện Biên
308	03127	Phường Điện Biên Phủ	Tỉnh Điện Biên
309	03334	Phường Mường Thanh	Tỉnh Điện Biên
310	03151	Phường Mường Lay	Tỉnh Điện Biên
311	03328	Xã Thanh Nưa	Tỉnh Điện Biên
312	03352	Xã Thanh An	Tỉnh Điện Biên
313	03349	Xã Thanh Yên	Tỉnh Điện Biên
314	03356	Xã Sam Mứn	Tỉnh Điện Biên
315	03358	Xã Núa Ngam	Tỉnh Điện Biên
316	03368	Xã Mường Nhà	Tỉnh Điện Biên
317	03253	Xã Tuần Giáo	Tỉnh Điện Biên
318	03295	Xã Quài Tở	Tỉnh Điện Biên
319	03268	Xã Mường Mùn	Tỉnh Điện Biên
320	03260	Xã Pú Nhung	Tỉnh Điện Biên
321	03283	Xã Chiềng Sinh	Tỉnh Điện Biên
322	03217	Xã Tủa Chùa	Tỉnh Điện Biên
323	03226	Xã Sín Chải	Tỉnh Điện Biên
324	03241	Xã Sính Phình	Tỉnh Điện Biên
325	03220	Xã Tủa Thàng	Tỉnh Điện Biên
326	03244	Xã Sáng Nhè	Tỉnh Điện Biên
327	03172	Xã Na Sang	Tỉnh Điện Biên
328	03181	Xã Mường Tùng	Tỉnh Điện Biên
329	03193	Xã Pa Ham	Tỉnh Điện Biên
330	03194	Xã Nậm Nèn	Tỉnh Điện Biên
331	03202	Xã Mường Pồn	Tỉnh Điện Biên
332	03203	Xã Na Son	Tỉnh Điện Biên
333	03208	Xã Xa Dung	Tỉnh Điện Biên
334	03370	Xã Pu Nhi	Tỉnh Điện Biên
335	03214	Xã Mường Luân	Tỉnh Điện Biên
336	03385	Xã Tìa Dình	Tỉnh Điện Biên
337	03382	Xã Phình Giàng	Tỉnh Điện Biên
338	03166	Xã Mường Chà	Tỉnh Điện Biên
339	03169	Xã Nà Hỳ	Tỉnh Điện Biên
340	03176	Xã Nà Bủng	Tỉnh Điện Biên
341	03175	Xã Chà Tở	Tỉnh Điện Biên
342	03199	Xã Si Pa Phìn	Tỉnh Điện Biên
343	03160	Xã Mường Nhé	Tỉnh Điện Biên
344	03158	Xã Sín Thầu	Tỉnh Điện Biên
345	03163	Xã Mường Toong	Tỉnh Điện Biên
346	03162	Xã Nậm Kè	Tỉnh Điện Biên
347	03164	Xã Quảng Lâm	Tỉnh Điện Biên
348	03256	Xã Mường Ảng	Tỉnh Điện Biên
349	03316	Xã Nà Tấu	Tỉnh Điện Biên
350	03301	Xã Búng Lao	Tỉnh Điện Biên
351	03313	Xã Mường Lạn	Tỉnh Điện Biên
		TỈNH LAI CHÂU	Tỉnh Lai Châu
352	03637	Xã Mường Kim	Tỉnh Lai Châu
353	03640	Xã Khoen On	Tỉnh Lai Châu
354	03595	Xã Than Uyên	Tỉnh Lai Châu
355	03618	Xã Mường Than	Tỉnh Lai Châu
356	03616	Xã Pắc Ta	Tỉnh Lai Châu
357	03613	Xã Nậm Sỏ	Tỉnh Lai Châu
358	03598	Xã Tân Uyên	Tỉnh Lai Châu
359	03601	Xã Mường Khoa	Tỉnh Lai Châu
360	03424	Xã Bản Bo	Tỉnh Lai Châu
361	03390	Xã Bình Lư	Tỉnh Lai Châu
362	03405	Xã Tả Lèng	Tỉnh Lai Châu
363	03430	Xã Khun Há	Tỉnh Lai Châu
364	03408	Phường Tân Phong	Tỉnh Lai Châu
365	03388	Phường Đoàn Kết	Tỉnh Lai Châu
366	03394	Xã Sin Suối Hồ	Tỉnh Lai Châu
367	03549	Xã Phong Thổ	Tỉnh Lai Châu
368	03562	Xã Sì Lở Lầu	Tỉnh Lai Châu
369	03571	Xã Dào San	Tỉnh Lai Châu
370	03583	Xã Khổng Lào	Tỉnh Lai Châu
371	03529	Xã Tủa Sín Chải	Tỉnh Lai Châu
372	03478	Xã Sìn Hồ	Tỉnh Lai Châu
373	03508	Xã Hồng Thu	Tỉnh Lai Châu
374	03517	Xã Nậm Tăm	Tỉnh Lai Châu
375	03532	Xã Pu Sam Cáp	Tỉnh Lai Châu
376	03544	Xã Nậm Cuổi	Tỉnh Lai Châu
377	03538	Xã Nậm Mạ	Tỉnh Lai Châu
378	03487	Xã Lê Lợi	Tỉnh Lai Châu
379	03434	Xã Nậm Hàng	Tỉnh Lai Châu
380	03472	Xã Mường Mô	Tỉnh Lai Châu
381	03460	Xã Hua Bum	Tỉnh Lai Châu
382	03503	Xã Pa Tần	Tỉnh Lai Châu
383	03466	Xã Bum Nưa	Tỉnh Lai Châu
384	03433	Xã Bum Tở	Tỉnh Lai Châu
385	03445	Xã Mường Tè	Tỉnh Lai Châu
386	03439	Xã Thu Lũm	Tỉnh Lai Châu
387	03442	Xã Pa Ủ	Tỉnh Lai Châu
388	03463	Xã Tà Tổng	Tỉnh Lai Châu
389	03451	Xã Mù Cả	Tỉnh Lai Châu
		TỈNH SƠN LA	Tỉnh Sơn La
390	03646	Phường Tô Hiệu	Tỉnh Sơn La
391	03667	Phường Chiềng An	Tỉnh Sơn La
392	03670	Phường Chiềng Cơi	Tỉnh Sơn La
393	03679	Phường Chiềng Sinh	Tỉnh Sơn La
394	03980	Phường Mộc Châu	Tỉnh Sơn La
395	03979	Phường Mộc Sơn	Tỉnh Sơn La
396	04033	Phường Vân Sơn	Tỉnh Sơn La
397	03982	Phường Thảo Nguyên	Tỉnh Sơn La
398	04000	Xã Đoàn Kết	Tỉnh Sơn La
399	04045	Xã Lóng Sập	Tỉnh Sơn La
400	03985	Xã Chiềng Sơn	Tỉnh Sơn La
401	04048	Xã Vân Hồ	Tỉnh Sơn La
402	04006	Xã Song Khủa	Tỉnh Sơn La
403	04018	Xã Tô Múa	Tỉnh Sơn La
404	04057	Xã Xuân Nha	Tỉnh Sơn La
405	03703	Xã Quỳnh Nhai	Tỉnh Sơn La
406	03688	Xã Mường Chiên	Tỉnh Sơn La
407	03694	Xã Mường Giôn	Tỉnh Sơn La
408	03712	Xã Mường Sại	Tỉnh Sơn La
409	03721	Xã Thuận Châu	Tỉnh Sơn La
410	03754	Xã Chiềng La	Tỉnh Sơn La
